ARTIST,SONG,MF CODE,TRACK
Ac Dc,Dirty Deeds Done Dirt Cheap,SC7578,07
Ac Dc,For Those About To Rock,SFMW817,04
Ac Dc,Girls Got Rhythm,LEG205,11
Ac Dc,Hard As A Rock,SC2265,03
Ac Dc,Have A Drink On Me,SC8631,01
Ac Dc,Heatseeker,SFMW882,13
Ac Dc,Hells Bells,SGB0014,01
Ac Dc,High Voltage,LEG205,15
Ac Dc,Highway To Hell,SGB0048,14
Ac Dc,It's A Long Way To The Top,SFMW879,03
Ac Dc,Jail Break,SFID007,11
Ac Dc,Jailbreak,LEG205,12
Ac Dc,Let There Be Rock,SFMW880,07
Ac Dc,Money Talks,SFHH05-6,09
Ac Dc,Moneytalks,CB5110-03,12
Ac Dc,Rock And Roll Train,SFID010,12
Ac Dc,Rocker,SFMW890,03
Ac Dc,Safe In New York City,SC8699,15
Ac Dc,Shoot To Thrill,SC8928,06
Ac Dc,Sin City,SC8701,04
Ac Dc,Stiff Upper Lip,SGB0063,11
Ac Dc,T N T,SC8660,11
Ac Dc,Thunderstruck,SFMW805,03
Ac Dc,Who Made Who,SC8701,03
Ac Dc,Whole Lotta Rosie,SGB0048,06
Ac Dc,You Shook Me All Night Long,SC7548,01
Accept,Balls To The Wall,SC8713,05
Ace,How Long,ZLP07,18
Ace Frehley,New York Groove,SC8397,10
Ace Of Base,All That She Wants,ZLP09,09
Ace Of Base,Always Have Always Will,SF130,05
Ace Of Base,Beautiful Life,SF034,06
Ace Of Base,Cruel Summer,SC8478,10
Ace Of Base,Don't Turn Around,SF009,01
Ace Of Base,Everytime It Rains,SF134,12
Ace Of Base,Life Is A Flower,SF123,10
Ace Of Base,Living In Danger,SF010,12
Ace Of Base,Lucky Love,SC8257,11
Ace Of Base,Sign,SF006,04
Ad Libs,Boy From New York City,SC7525,15
Adam And The Ants,Ant Music,SF105,05
Adam And The Ants,Desperate But Not Serious,SC8571,15
Adam And The Ants,Goody Two Shoes,ZGY82,03
Adam And The Ants,Prince Charming,ZGY81,04
Adam And The Ants,Stand And Deliver,SF105,01
Adam Brand,Better Than This,SFKK50,13
Adam Brand,Ready For Love,SFKK44,12
Adam Faith,As You Like It,HSW210,03
Adam Faith,How About That,SF083,05
Adam Faith,Message To Martha,STTW3047,09
Adam Faith,Poor Me,SF074,06
Adam Faith,What Do You Want,SF047,02
Adam Harvey And Troy Cassar D,Seven Spanish Angels,SFKK43,13
Adam Lambert,Better Than I Know Myself,SFKK67,05
Adam Lambert,For Your Entertainment,CB5148-02,09
Adam Lambert,If I Had You,SFKK48,01
Adam Lambert,Mad World,QH0308,07
Adam Lambert,Never Close Our Eyes,SFKK72,15
Adam Lambert,Time For Miracles,SFKK46,01
Adam Lambert,Whataya Want From Me,SFKK44,03
Adam Rickitt,I Breathe Again,SF144,08
Adam Sandler,At A Medium Pace,SC8700,03
Adam Sandler,Chanukah Song,SC8900,03
Adam Sandler,Ode To My Car,SC8700,10
Adam Sandler,Pice Of St Car,SGB0012,14
Adam Sandler,What The Hell Happened To Me,SGB0012,13
Adamo,Mauvais Garcon,JVC15,02
Adamo,San Toi Mamie,JVC15,01
Adamo,Tomba La Neige,JVC15,03
Adams And Stewart And Sting,All For Love,SF007,01
Adamski,Killer,SFMW844,08
Adele,Chasing Pavements,ZPP04-1,10
Adele,Cold Shoulder,SFPL023,09
Adele,Hometown Glory,SF270,11
Adele,Make You Feel My Love,ZPP10-1,19
Adele,One And Only,ZPP11-2,05
Adele,Promise This,SF302,18
Adele,Right As Rain,PHM0903,09
Adele,Rolling In The Deep,ZPP10-2,08
Adele,Rumour Has It,SFKK67,15
Adele,Set Fire To The Rain,ZPP11-2,08
Adele,Skyfall,ZPP14-2,08
Adele,Someone Like You,ZPP11-2,11
Adele,Turning Tables,ZPBX2-6,11
Adema,Giving In,TT075,05
Adema,Way You Like It,SC2364,01
Adina Howard,Freak Like Me,SC8656,10
Adrian Gurvitz,Classic,SF076,06
Adrian Zmed (Grease 2),Prowlin',SFMW922,14
Adventures Of Stevie V,Dirty Cash,SFMW905,07
Aerosmith,Amazing,SGB0048,04
Aerosmith,Angel,ZPA066,10
Aerosmith,Angel's Eye,SC8659,06
Aerosmith,Back In The Saddle,ZPA066,08
Aerosmith,Big Ten Inch Record,SGB0064,04
Aerosmith,Crazy,ZPA067,08
Aerosmith,Crying,ZPA067,09
Aerosmith,Draw The Line,SC8406,10
Aerosmith,Dream On,ZPA067,10
Aerosmith,Dude (Looks Like A Lady),ZPA066,09
Aerosmith,Eat The Rich,SC8710,06
Aerosmith,Falling In Love,ZPA067,11
Aerosmith,Fly Away From Here,TT059,07
Aerosmith,Girls Of Summer,SC8768,13
Aerosmith,Hole In My Soul,SC8448,14
Aerosmith,I Don't Want To Miss A Thing,ZPA066,14
Aerosmith,Jaded,TT033,09
Aerosmith,Janie's Got A Gun,SFHH05-5,07
Aerosmith,Just Push Play,SC8699,01
Aerosmith,Last Child,SC8791,03
Aerosmith,Livin' On The Edge,SGB0052,14
Aerosmith,Love In An Elevator,ZPA066,13
Aerosmith,Love Lies,TT035,10
Aerosmith,Mama Kin,SC8710,05
Aerosmith,Other Side,SC8710,07
Aerosmith,Pandora's Box,DG002,13
Aerosmith,Pink,ZPA067,12
Aerosmith,Rag Doll,ZPA066,11
Aerosmith,Same Old Song And Dance,ZPA067,13
Aerosmith,Sunshine,SC8732,02
Aerosmith,Sweet Emotion,ZPA067,14
Aerosmith,Toys In The Attic,SC8635,10
Aerosmith,Train Kept A Rollin',SGB0014,15
Aerosmith,Walk This Way,ZPA066,12
Aerosmith,What It Takes,SC8710,02
Aerosmith,What Kind Of Love Are You On,SC8481,15
Aerosmith And Run Dmc,Walk This Way,SGB0063,01
Afi,Miss Murder,THMR0608,10
Afrojack Feat Spree Wilson,Spark,SF335,08
Afroman,Because I Got High,TT073,04
After 7,How Do You Tell The One,SC8268,07
After 7,Ready Or Not,JV1004,16
After 7,Till You Do Me Right,SC8187,07
After The Fire,Der Kommissar,SC8522,03
Afters,Beautiful Love,THM2006,--
Aggro Santos Feat Kimberly W,Like U Like,SF300,02
Aggro Santos Feat Kimberly Wy,Candy,SF292,01
Agnes,Release Me,ZPP07-2,09
Agnetha Falstkog,Dance Your Pain Away,SF330,10
A-ha,Cry Wolf,SFMW918,02
A-ha,Sun Always Shines On T V,ZGY85,09
A-ha,Take On Me,ZGY85,14
Ainsley Henderson,Keep Me A Secret,SF202,13
Ain't Misbehavin',I've Got A Feeling I'm Falling,MM6023,14
Air,All I Need,SFMW877,15
Air Supply,All Out Of Love,SF012,15
Air Supply,Even The Nights Are Better,SC8259,01
Air Supply,Every Woman In The World,SC8393,01
Air Supply,Every Woman In World,LEG212,04
Air Supply,Here I Am,LEG212,06
Air Supply,Here I Am (Just When I Thought I Wa,SC8634,08
Air Supply,Just As I Am,CBE10-18,02
Air Supply,Lost In Love,SC8362,06
Air Supply,Making Love Out Of Nothing At All,SC8273,15
Air Supply,One That You Love,SC8283,09
Air Supply,Sweet Dreams,LEG212,08
Air Supply,Two Less Lonely People,LEG212,07
Aitken Clay,This Is The Night,SPC020,03
Akon,Angel,SFKK51,09
Akon,Bananza (Belly Dancer),SF234,14
Akon,Belly Dancer (Bananza),SFKK06,16
Akon,Don't Matter,SFKK18,03
Akon,Lockecd Up,SF229,03
Akon,Locked Up,SC8909,15
Akon,Lonely,SFKK03,09
Akon,Right Now,EKI31,06
Akon,Right Now (Na Na Na),SFKK31,09
Akon,Sexy Bitch,SFKK37,08
Akon,Sorry Blame It On Me,SFKK20,13
Akon,We Don't Care,SF282,08
Akon And T Pain,Bartender,SC9015,01
Akon Fe Kardinal Offishall,Beautiful,EKI36,07
Akon Feat Snoop Dogg,I Wanna Love You,MRH036,16
Akon Ft Kardinal Offishall An,Beautiful,SF278,03
Akon Ftg Colbie O'donis And K,Beautiful,CBE10-23,05
Akon Michael Jackson,Hold My Hand,SFKK54,01
Al B Sure,Alone With You,SAVP025,01
Al B Sure,Nite And Day,DKG046,03
Al B Sure,Right Now,SAVP039,14
Al Dexter And His Troopers,New Broom Boogie,CBE09-01,02
Al Dexter And His Troopers,Pistol Packin' Mama,SC8538,10
Al Green,Call Me (Come Back Home),LEG214,15
Al Green,Don't Say No Tonight,RB018,02
Al Green,Full Of Fire,RB015,09
Al Green,Here I Am (Come And Take Me),SC8755,08
Al Green,How Can You Mend A Broken Heart,LEG136,12
Al Green,I Had A Dream,RB012,14
Al Green,I'm Still In Love With You,LEG214,17
Al Green,L O V E,LEG214,07
Al Green,Let's Stay Together,SF072,09
Al Green,Look What You've Done For Me,LEG214,16
Al Green,Sha La La (Make Me Happy),LEG214,14
Al Green,Still In Love With You,RB018,01
Al Green,Tired Of Being Alone,SFMW808,10
